UniqueID,Tray,Genotype,GrandmaternalTemp,GrandmaternalVern,MaxLeafNumber,MaxLength,Bolting,Flower,FirstFruit,FirstYellowFruit,Generation,FlowerInterval,FruitInterval
Ws1_11,K,Ws1,High,Vernalized,13,13.33,22,31,33,53,Progeny,9,22
Ws1_12,L,Ws1,High,Vernalized,14,14.34,32,42,45,66,Progeny,10,24
Ws1_13,A,Ws1,High,Unvernalized,15,17.72,26,33,35,52,Progeny,7,19
Ws1_14,B,Ws1,High,Unvernalized,14,16.09,21,24,31,52,Progeny,3,28
Ws1_15,C,Ws1,High,Unvernalized,15,17.72,18,27,30,51,Progeny,9,24
Ws1_16,D,Ws1,High,Unvernalized,15,16.84,21,30,33,54,Progeny,9,24
Ws1_17,E,Ws1,High,Unvernalized,14,17.42,22,30,32,51,Progeny,8,21
Ws1_19,G,Ws1,High,Unvernalized,14,17.79,22,29,32,51,Progeny,7,22
Ws1_2,B,Ws1,High,Vernalized,14,23.68,29,37,40,60,Progeny,8,23
Ws1_21,I,Ws1,High,Unvernalized,14,18.93,21,29,33,54,Progeny,8,25
Ws1_22,J,Ws1,High,Unvernalized,16,18.2,26,32,35,55,Progeny,6,23
Ws1_23,K,Ws1,High,Unvernalized,12,16.24,22,28,32,60,Progeny,6,32
Ws1_24,L,Ws1,High,Unvernalized,15,20.79,26,35,37,58,Progeny,9,23
Ws1_25,A,Ws1,Low,Vernalized,12,15.61,22,26,29,50,Progeny,4,24
Ws1_26,B,Ws1,Low,Vernalized,15,17.28,20,28,31,52,Progeny,8,24
Ws1_27,C,Ws1,Low,Vernalized,13,17.27,18,27,30,51,Progeny,9,24
Ws1_28,D,Ws1,Low,Vernalized,14,15.44,21,29,31,56,Progeny,8,27
Ws1_29,E,Ws1,Low,Vernalized,16,18.35,22,30,33,54,Progeny,8,24
Ws1_3,C,Ws1,High,Vernalized,11,13.25,24,35,36,57,Progeny,11,22
Ws1_30,F,Ws1,Low,Vernalized,14,13.82,22,29,32,51,Progeny,7,22
